C19005|COVID - Консультація
92090-00|Видалення стороннього тіла з прямої кишки або ануса без розрізу
92087-00|Видалення стороннього тіла з ротової порожнини без розрізу
92088-00|Видалення стороннього тіла з товстої кишки без розрізу
92089-00|Видалення стороннього тіла зі штучного отвору (стоми) без розрізу
92031-00|Видалення тампонів з носа
92112-00|Видалення тампону з піхви або вульви
92140-00|Видалення тампону з тулуба, не класифіковане в інших рубриках
92049-00|Видалення торакотомної трубки або дренажної трубки з плевральної порожнини
92097-00|Видалення Т-подібної трубки (дренажу Кера), іншої трубки з жовчної протоки або печінкової трубки
92085-00|Видалення трубки або дренажу з протоки підшлункової залози
92084-00|Видалення трубки з товстої кишки або апендикса
92083-00|Видалення трубки з тонкої кишки
92098-00|Видалення трубки з холецистостомії
92118-00|Видалення уретеростомічної трубки або сечовідного катетера
92121-00|Видалення цистостомічної трубки
47711-00|Використання гало-апарату
47717-00|Використання гало-апарату та корсету для грудного відділу
47720-00|Використання гало-феморальної тракції
47708-00|Використання гіпсового корсету
97851-00|Встановлення позаротового пристрою
96092-00|Використання, припасовування, налагодження або заміна іншого допоміжного засобу, адаптивного пристрою чи додаткового обладнання
97119-00|Відбілювання, в домашніх умовах, одна дуга
97117-00|Відбілювання, внутрішнє, один зуб
97118-00|Відбілювання, зовнішнє, один зуб
97769-00|Відновлення або внесення додаткових змін до конструкції литого металевого каркаса
97763-00|Відновлення зламаного базису повного знімного протеза
97764-00|Відновлення зламаного базису часткового знімного протеза
97875-00|Відновлення знімного апарата, на основі композиту
97876-00|Відновлення кламера, пружини або зуба на знімному апараті
61499-01|Дослідження шунта Левіна
97658-00|Відновлення коронки, моста або шини, непряме
97659-00|Відновлення коронки, моста або шини, пряме
97113-00|Відновлення раніше зробленої(-их) реставрації(-ій)
97634-01|Відновлення тимчасового імпланта-абатмента
97972-00|Відновлення/додавання оклюзійної шини
96196-10|Внутрішньоартеріальне введення лікарського засобу, психотерапевтичний лікарський засіб
96196-04|Внутрішньоартеріальне введення фармакологічного засобу, антидот
96196-08|Внутрішньоартеріальне введення фармакологічного засобу, електроліт
96196-06|Внутрішньоартеріальне введення фармакологічного засобу, інсулін
96196-19|Внутрішньоартеріальне введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96196-07|Внутрішньоартеріальне введення фармакологічного засобу, поживна речовина
96196-02|Внутрішньоартеріальне введення фармакологічного засобу, протиінфекційний засіб
96196-00|Внутрішньоартеріальне введення фармакологічного засобу, протипухлинний засіб
96196-03|Внутрішньоартеріальне введення фармакологічного засобу, стероїд
96196-01|Внутрішньоартеріальне введення фармакологічного засобу, тромболітичний засіб
92518-01|Внутрішньовенна післяпроцедурна знеболююча інфузія
92518-00|Внутрішньовенна післяпроцедурна інфузія, контрольована пацієнтом аналгезія (КПА)
92519-99|Внутрішньовенна регіональна анестезія, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, не екстрена допомога або невідомо
92519-90|Внутрішньовенна регіональна анестезія, відсутнє документальне підтвердження присвоєння балу за шкалою ASA, процедура проводиться як екстрена допомога
92519-59|Внутрішньовенна регіональна анестезія, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, не екстрена допомога або невідомо
92519-50|Внутрішньовенна регіональна анестезія, вмираючий пацієнт, який може загинути протягом найближчої доби навіть без хірургічного втручання, процедура проводиться як екстрена допомога
92519-19|Внутрішньовенна регіональна анестезія, нормальний здоровий пацієнт, не екстрена допомога або невідомо
92519-10|Внутрішньовенна регіональна анестезія, нормальний здоровий пацієнт, процедура проводиться як екстрена допомога
92519-49|Внутрішньовенна регіональна анестезія, пацієнт з вираженим інвалідизуючим захворюванням, не екстрена допомога або невідомо
92519-40|Внутрішньовенна регіональна анестезія, пацієнт з вираженим інвалідизуючим захворюванням, яке становить загрозу життю, процедура проводиться як екстрена допомога
92519-29|Внутрішньовенна регіональна анестезія, пацієнт з легкими системними розладами, не екстрена допомога або невідомо
92519-20|Внутрішньовенна регіональна анестезія, пацієнт з легкими системними розладами, процедура проводиться як екстрена допомога
92519-39|Внутрішньовенна регіональна анестезія, пацієнт зі значними системними розладами, що обмежують активність, не екстрена допомога або невідомо
92519-30|Внутрішньовенна регіональна анестезія, пацієнт зі значними системними розладами, що обмежують активність, процедура проводиться як екстрена допомога
92519-69|Внутрішньовенна регіональна анестезія, пацієнт, мозок якого офіційно визнаний мертвим, та органи якого будуть використані для донорства, не екстрена допомога або невідомо
96199-10|Внутрішньовенне введення лікарського засобу, психотерапевтичний лікарський засіб
96199-04|Внутрішньовенне введення фармакологічного засобу, антидот
92178-00|Теплова терапія
96199-08|Внутрішньовенне введення фармакологічного засобу, електроліт
96199-06|Внутрішньовенне введення фармакологічного засобу, інсулін
96199-19|Внутрішньовенне введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96199-07|Внутрішньовенне введення фармакологічного засобу, поживна речовина
96199-02|Внутрішньовенне введення фармакологічного засобу, протиінфекційний засіб
96199-00|Внутрішньовенне введення фармакологічного засобу, протипухлинний засіб
96199-03|Внутрішньовенне введення фармакологічного засобу, стероїд
96199-01|Внутрішньовенне введення фармакологічного засобу, тромболітичний засіб
96197-10|Внутрішньом'язове введення лікарського засобу, психотерапевтичний лікарський засіб
96197-04|Внутрішньом'язове введення фармакологічного засобу, антидот
96197-08|Внутрішньом'язове введення фармакологічного засобу, електроліт
96197-06|Внутрішньом'язове введення фармакологічного засобу, інсулін
96197-19|Внутрішньом'язове введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
96197-07|Внутрішньом'язове введення фармакологічного засобу, поживна речовина
96197-02|Внутрішньом'язове введення фармакологічного засобу, протиінфекційний засіб
96197-00|Внутрішньом'язове введення фармакологічного засобу, протипухлинний засіб
96197-03|Внутрішньом'язове введення фармакологічного засобу, стероїд
96197-01|Внутрішньом'язове введення фармакологічного засобу, тромболітичний засіб
96201-10|Внутрішньопорожнинне введення лікарського засобу, психотерапевтичний лікарський засіб
96201-04|Внутрішньопорожнинне введення фармакологічного засобу, антидот
96201-08|Внутрішньопорожнинне введення фармакологічного засобу, електроліт
96201-06|Внутрішньопорожнинне введення фармакологічного засобу, інсулін
96201-19|Внутрішньопорожнинне введення фармакологічного засобу, інший та неуточнений фармакологічний засіб
13750-02|Терапевтичний еритроферез
96201-07|Внутрішньопорожнинне введення фармакологічного засобу, поживна речовина
96201-02|Внутрішньопорожнинне введення фармакологічного засобу, протиінфекційний засіб
96201-00|Внутрішньопорожнинне введення фармакологічного засобу, протипухлинний засіб
96201-03|Внутрішньопорожнинне введення фармакологічного засобу, стероїд
96201-01|Внутрішньопорожнинне введення фармакологічного засобу, тромболітичний засіб
97821-00|Встановлення активного знімного ортодонтичного апарату, верхньощелепна дуга
A33010|Аналіз; венеричне захворювання
97822-01|Встановлення активного знімного ортодонтичного апарату, нижньощелепна дуга
97843-00|Встановлення апарату для збільшення верхньої щелепи
97716-00|Встановлення армуючої металевої сітки або пластини
96133-00|Навчання навичок, що стосуються бінокулярного зору
97928-00|Встановлення внутрішньовенних канюль і проведення інфузії у зв'язку із стоматологічними процедурами
97985-00|Встановлення внутрішньоротового пристрою у діагностованих випадках, пов'язаних з хропінням і синдромом обструктивного апное під час сну
97845-00|Встановлення закріпленого на місці пасивного ортодонтичного апарату
97738-00|Встановлення з'єднувальної балки, виготовленої з металу
97733-00|Встановлення зуба до часткового знімного протезу, один зуб
97597-00|Встановлення зубного штифта (відлитого, сформованого з металу)
97151-00|Встановлення капи, непряма фіксація
97732-00|Встановлення кламера з оклюзійною накладкою до часткового знімного протезу, один кламер
97739-00|Встановлення металевого каркаса фасетки для протезного зуба, один каркас
97576-00|Встановлення металевої коронки
97774-00|Встановлення обтуратора
97811-00|Встановлення пасивного знімного ортодонтичного апарату, верхньощелепна дуга
97812-01|Встановлення пасивного знімного ортодонтичного апарату, нижньощелепна дуга
97825-00|Встановлення пластикових елайнерів для послідовного переміщення зубів, одна дуга
97719-00|Встановлення повних знімних протезів нижньої і верхньої щелеп
97711-00|Встановлення повного знімного протезу верхньої щелепи
97712-00|Встановлення повного знімного протезу нижньої щелепи
97737-00|Встановлення пружної прокладки
97731-00|Встановлення ретейнера до часткового знімного протезу
97575-00|Встановлення стоматологічного штифта, один штифт
97689-00|Встановлення тимчасового імплантата
97690-00|Встановлення тимчасового фіксувального пристрою
97823-00|Встановлення функціонального ортопедичного апарату
97727-00|Встановлення часткового знімного протезу верхньої щелепи, литий металевий каркас
97721-00|Встановлення часткового знімного протезу верхньої щелепи, на основі композита
97728-00|Встановлення часткового знімного протезу нижньої щелепи, литий металевий каркас
97722-00|Встановлення часткового знімного протезу нижньої щелепи, на основі композита
97772-00|Встановлення шини з композиту, непряма процедура
97773-00|Встановлення шини з металу, непряма процедура
13100-00|Гемодіаліз
13100-05|Гемоперфузія
96088-00|Генетичне консультування або навчання
96153-00|Гідротерапія
13025-00|Гіпербарична киснева терапія, > 3 годин
13020-00|Гіпербарична киснева терапія, > 90 хвилин та ≤ 3 годин
96191-00|Гіпербарична киснева терапія, ≤ 90 хвилин
96103-00|Гіпносугестивна терапія
92003-00|Детоксикація після вживання алкоголю
92006-00|Детоксикація після вживання наркотичних речовин
92009-00|Детоксикація після поєднаного вживання алкоголю та наркотичних речовин
92199-00|Дистанційна ударно-хвильова літотрипсія [ДУХЛТ] локалізацій не класифікованих в інших рубриках
